time,command,vx,vy,vz,yawRate,x,y,z,roll,pitch,yaw,lat,lon,alt
1770645376.3267465,idle,0.0,0.0,0.0,0.0,129.4178009033203,88.03579711914062,-21.618242263793945,-0.2911536492888442,-0.2381907616643859,-0.7837113931252078,47.64264318892545,-122.13902239394407,143.46240234375
1770645376.3886015,idle,0.0,0.0,0.0,0.0,129.12655639648438,88.51190948486328,-21.67377471923828,-0.3747311105937193,-0.23921981268405235,-0.7631386247152049,47.64264015315724,-122.13901436213854,143.520751953125
1770645376.4518452,idle,0.0,0.0,0.0,0.0,128.77845764160156,89.06383514404297,-21.763648986816406,-0.44396863220231764,-0.2341098073897549,-0.7457988266764405,47.64263709831691,-122.13900637023374,143.5579376220703
1770645376.514314,idle,0.0,0.0,0.0,0.0,128.44290161132812,89.58003997802734,-21.876590728759766,-0.48886985403339617,-0.22491647287293537,-0.7346731172068871,47.64263402550046,-122.1389984942814,143.5882110595703
1770645376.5778925,idle,0.0,0.0,0.0,0.0,128.17979431152344,89.97490692138672,-21.985074996948242,-0.5135788301012567,-0.21591503194540657,-0.7287339482795683,47.6426309480164,-122.13899089460926,143.63987731933594
1770645376.6478126,idle,0.0,0.0,0.0,0.0,127.87400817871094,90.42377471923828,-22.135982513427734,-0.5339833612124298,-0.20422271370682415,-0.7240373651642864,47.64262692356868,-122.13898133870549,143.7431640625
1770645376.700084,idle,0.0,0.0,0.0,0.0,127.62491607666016,90.7818832397461,-22.281558990478516,-0.5457078095039065,-0.19401211530602458,-0.7214861523711504,47.642624970768374,-122.13897684109209,143.8091583251953
1770645376.7634404,idle,0.0,0.0,0.0,0.0,127.35481262207031,91.16280364990234,-22.466781616210938,-0.5547677475491319,-0.1823532862207138,-0.7196351527422645,47.642622138800675,-122.13897046380205,143.9250946044922
1770645376.824455,idle,0.0,0.0,0.0,0.0,127.1051254272461,91.50821685791016,-22.66914939880371,-0.5606182760817896,-0.1709852857064254,-0.718527822485601,47.64261944091431,-122.1389645368185,144.0601043701172
1770645376.8877523,idle,0.0,0.0,0.0,0.0,126.90641021728516,91.77848052978516,-22.85734748840332,-0.5639701949129199,-0.16141977105812305,-0.7179429167583324,47.64261689076462,-122.13895905831318,144.21290588378906
1770645376.9509919,idle,0.0,0.0,0.0,0.0,126.69639587402344,92.05962371826172,-23.09038543701172,-0.5665517850522734,-0.1506115979785772,-0.7175300851053166,47.64261449802697,-122.13895402188885,144.38243103027344
1770645377.0153868,idle,0.0,0.0,0.0,0.0,126.50465393066406,92.3129653930664,-23.329139709472656,-0.5682141358944153,-0.14007449033996397,-0.7172914967227154,47.642612269906465,-122.13894941982849,144.56787109375
1770645377.078095,idle,0.0,0.0,0.0,0.0,126.3339614868164,92.53688049316406,-23.5485782623291,-0.5692443817865196,-0.13035177057015185,-0.7171606871352804,47.6426102118926,-122.13894524421214,144.7686767578125
1770645377.1420639,idle,0.0,0.0,0.0,0.0,126.16654968261719,92.7555160522461,-23.765043258666992,-0.569945654702798,-0.12063118333035519,-0.7170839495896734,47.6426083287887,-122.13894148732282,144.9845733642578
1770645377.2043118,idle,0.0,0.0,0.0,0.0,126.01737976074219,92.94984436035156,-23.95781135559082,-0.5668751243904675,-0.11161745005471058,-0.7175186871856257,47.64260661524282,-122.13893811951202,145.2123260498047
1770645377.266786,idle,0.0,0.0,0.0,0.0,125.8847427368164,93.1225357055664,-24.128177642822266,-0.5523081724273644,-0.10295522684006703,-0.7193856542519671,47.642605026174145,-122.13893502543475,145.43707275390625
1770645377.3285742,idle,0.0,0.0,0.0,0.0,125.75450134277344,93.29226684570312,-24.291568756103516,-0.5289853495280095,-0.09437027678897776,-0.7221045976032258,47.64260353708666,-122.13893214203715,145.65078735351562
